,GEOID,month,filings_2020
0,73301,01/2020,0
1,73301,02/2020,0
2,73301,03/2020,0
3,73301,04/2020,0
4,73301,05/2020,0
5,73301,06/2020,0
6,73301,07/2020,0
7,73301,08/2020,0
8,73301,09/2020,0
9,73301,10/2020,0
10,73301,11/2020,0
11,73301,12/2020,0
12,73301,01/2021,0
13,73301,02/2021,0
14,73301,03/2021,0
15,73301,04/2021,0
16,73301,05/2021,0
17,73301,06/2021,0
18,73301,07/2021,0
19,73301,08/2021,0
20,73301,09/2021,0
21,73301,10/2021,0
22,73301,11/2021,0
23,73301,12/2021,0
24,73301,01/2022,0
25,73301,02/2022,0
26,73301,03/2022,0
27,73301,04/2022,0
28,73301,05/2022,0
29,73301,06/2022,0
30,73301,07/2022,0
31,73301,08/2022,0
32,73301,09/2022,0
33,73301,10/2022,0
34,73301,11/2022,0
35,73301,12/2022,0
36,73301,01/2023,0
37,73301,02/2023,0
38,73301,03/2023,0
39,73301,04/2023,0
40,73301,05/2023,0
41,73301,06/2023,0
42,73301,07/2023,0
43,73301,08/2023,0
44,76574,01/2020,0
45,76574,02/2020,0
46,76574,03/2020,0
47,76574,04/2020,0
48,76574,05/2020,0
49,76574,06/2020,0
50,76574,07/2020,0
51,76574,08/2020,0
52,76574,09/2020,0
53,76574,10/2020,0
54,76574,11/2020,0
55,76574,12/2020,0
56,76574,01/2021,0
57,76574,02/2021,0
58,76574,03/2021,0
59,76574,04/2021,0
60,76574,05/2021,0
61,76574,06/2021,0
62,76574,07/2021,0
63,76574,08/2021,0
64,76574,09/2021,0
65,76574,10/2021,0
66,76574,11/2021,0
67,76574,12/2021,0
68,76574,01/2022,0
69,76574,02/2022,0
70,76574,03/2022,0
71,76574,04/2022,0
72,76574,05/2022,0
73,76574,06/2022,0
74,76574,07/2022,0
75,76574,08/2022,0
76,76574,09/2022,0
77,76574,10/2022,0
78,76574,11/2022,0
79,76574,12/2022,0
80,76574,01/2023,0
81,76574,02/2023,0
82,76574,03/2023,0
83,76574,04/2023,0
84,76574,05/2023,0
85,76574,06/2023,0
86,76574,07/2023,0
87,76574,08/2023,0
88,78610,01/2020,1
89,78610,02/2020,0
90,78610,03/2020,0
91,78610,04/2020,0
92,78610,05/2020,0
93,78610,06/2020,0
94,78610,07/2020,0
95,78610,08/2020,1
96,78610,09/2020,0
97,78610,10/2020,0
98,78610,11/2020,1
99,78610,12/2020,1
100,78610,01/2021,0
101,78610,02/2021,0
102,78610,03/2021,0
103,78610,04/2021,1
104,78610,05/2021,0
105,78610,06/2021,0
106,78610,07/2021,1
107,78610,08/2021,0
108,78610,09/2021,0
109,78610,10/2021,0
110,78610,11/2021,0
111,78610,12/2021,0
112,78610,01/2022,0
113,78610,02/2022,0
114,78610,03/2022,0
115,78610,04/2022,3
116,78610,05/2022,0
117,78610,06/2022,0
118,78610,07/2022,0
119,78610,08/2022,0
120,78610,09/2022,0
121,78610,10/2022,0
122,78610,11/2022,0
123,78610,12/2022,1
124,78610,01/2023,0
125,78610,02/2023,2
126,78610,03/2023,0
127,78610,04/2023,0
128,78610,05/2023,0
129,78610,06/2023,0
130,78610,07/2023,0
131,78610,08/2023,0
132,78612,01/2020,0
133,78612,02/2020,0
134,78612,03/2020,0
135,78612,04/2020,0
136,78612,05/2020,0
137,78612,06/2020,0
138,78612,07/2020,0
139,78612,08/2020,0
140,78612,09/2020,0
141,78612,10/2020,0
142,78612,11/2020,1
143,78612,12/2020,0
144,78612,01/2021,0
145,78612,02/2021,0
146,78612,03/2021,1
147,78612,04/2021,0
148,78612,05/2021,0
149,78612,06/2021,1
150,78612,07/2021,0
151,78612,08/2021,0
152,78612,09/2021,0
153,78612,10/2021,0
154,78612,11/2021,0
155,78612,12/2021,0
156,78612,01/2022,1
157,78612,02/2022,1
158,78612,03/2022,0
159,78612,04/2022,0
160,78612,05/2022,0
161,78612,06/2022,0
162,78612,07/2022,0
163,78612,08/2022,1
164,78612,09/2022,0
165,78612,10/2022,0
166,78612,11/2022,0
167,78612,12/2022,0
168,78612,01/2023,0
169,78612,02/2023,0
170,78612,03/2023,0
171,78612,04/2023,0
172,78612,05/2023,0
173,78612,06/2023,0
174,78612,07/2023,0
175,78612,08/2023,0
176,78613,01/2020,1
177,78613,02/2020,1
178,78613,03/2020,0
179,78613,04/2020,0
180,78613,05/2020,0
181,78613,06/2020,1
182,78613,07/2020,0
183,78613,08/2020,0
184,78613,09/2020,0
185,78613,10/2020,0
186,78613,11/2020,0
187,78613,12/2020,1
188,78613,01/2021,0
189,78613,02/2021,0
190,78613,03/2021,0
191,78613,04/2021,0
192,78613,05/2021,0
193,78613,06/2021,0
194,78613,07/2021,1
195,78613,08/2021,0
196,78613,09/2021,2
197,78613,10/2021,0
198,78613,11/2021,1
199,78613,12/2021,0
200,78613,01/2022,0
201,78613,02/2022,1
202,78613,03/2022,0
203,78613,04/2022,0
204,78613,05/2022,1
205,78613,06/2022,0
206,78613,07/2022,1
207,78613,08/2022,0
208,78613,09/2022,0
209,78613,10/2022,0
210,78613,11/2022,0
211,78613,12/2022,0
212,78613,01/2023,0
213,78613,02/2023,0
214,78613,03/2023,1
215,78613,04/2023,1
216,78613,05/2023,2
217,78613,06/2023,0
218,78613,07/2023,0
219,78613,08/2023,0
220,78615,01/2020,0
221,78615,02/2020,0
222,78615,03/2020,0
223,78615,04/2020,0
224,78615,05/2020,0
225,78615,06/2020,0
226,78615,07/2020,0
227,78615,08/2020,0
228,78615,09/2020,0
229,78615,10/2020,0
230,78615,11/2020,0
231,78615,12/2020,0
232,78615,01/2021,0
233,78615,02/2021,0
234,78615,03/2021,0
235,78615,04/2021,0
236,78615,05/2021,0
237,78615,06/2021,0
238,78615,07/2021,0
239,78615,08/2021,0
240,78615,09/2021,1
241,78615,10/2021,0
242,78615,11/2021,1
243,78615,12/2021,0
244,78615,01/2022,0
245,78615,02/2022,0
246,78615,03/2022,0
247,78615,04/2022,0
248,78615,05/2022,0
249,78615,06/2022,0
250,78615,07/2022,0
251,78615,08/2022,0
252,78615,09/2022,0
253,78615,10/2022,0
254,78615,11/2022,0
255,78615,12/2022,0
256,78615,01/2023,0
257,78615,02/2023,0
258,78615,03/2023,0
259,78615,04/2023,0
260,78615,05/2023,0
261,78615,06/2023,0
262,78615,07/2023,0
263,78615,08/2023,0
264,78616,01/2020,0
265,78616,02/2020,0
266,78616,03/2020,0
267,78616,04/2020,0
268,78616,05/2020,0
269,78616,06/2020,0
270,78616,07/2020,0
271,78616,08/2020,0
272,78616,09/2020,0
273,78616,10/2020,0
274,78616,11/2020,0
275,78616,12/2020,0
276,78616,01/2021,0
277,78616,02/2021,0
278,78616,03/2021,0
279,78616,04/2021,0
280,78616,05/2021,0
281,78616,06/2021,0
282,78616,07/2021,0
283,78616,08/2021,0
284,78616,09/2021,0
285,78616,10/2021,0
286,78616,11/2021,0
287,78616,12/2021,0
288,78616,01/2022,0
289,78616,02/2022,0
290,78616,03/2022,0
291,78616,04/2022,0
292,78616,05/2022,0
293,78616,06/2022,0
294,78616,07/2022,0
295,78616,08/2022,0
296,78616,09/2022,0
297,78616,10/2022,0
298,78616,11/2022,0
299,78616,12/2022,0
300,78616,01/2023,0
301,78616,02/2023,0
302,78616,03/2023,0
303,78616,04/2023,0
304,78616,05/2023,0
305,78616,06/2023,0
306,78616,07/2023,0
307,78616,08/2023,0
308,78617,01/2020,8
309,78617,02/2020,10
310,78617,03/2020,4
311,78617,04/2020,0
312,78617,05/2020,1
313,78617,06/2020,1
314,78617,07/2020,5
315,78617,08/2020,0
316,78617,09/2020,10
317,78617,10/2020,4
