,NAME,S1901_C01_001E
1, 73949,579
2, 75001,8361
3, 75002,22236
4, 75006,18022
5, 75007,19356
6, 75009,3633
7, 75010,11482
8, 75013,13663
9, 75019,15953
10, 75020,8829
11, 75021,3369
12, 75022,7933
13, 75023,18121
14, 75024,17726
15, 75025,18780
16, 75028,15826
17, 75032,10973
18, 75034,35506
19, 75035,22460
20, 75038,12279
21, 75039,9697
22, 75040,18460
23, 75041,9379
24, 75042,11483
25, 75043,21054
26, 75044,15054
27, 75048,7626
28, 75050,14690
29, 75051,12798
30, 75052,29698
31, 75054,3082
32, 75056,21956
33, 75057,5022
34, 75058,846
35, 75060,14003
36, 75061,17381
37, 75062,16126
38, 75063,15903
39, 75065,4492
40, 75067,24965
41, 75068,19329
42, 75069,13853
43, 75070,34661
44, 75071,16901
45, 75074,17124
46, 75075,14219
47, 75076,3159
48, 75077,12912
49, 75078,6897
50, 75080,19098
51, 75081,14975
52, 75082,8543
53, 75087,11746
54, 75088,9104
55, 75089,10997
56, 75090,8286
57, 75092,9920
58, 75093,19131
59, 75094,6140
60, 75098,17370
61, 75101,190
62, 75102,440
63, 75103,5241
64, 75104,15820
65, 75105,66
66, 75109,1718
67, 75110,10283
68, 75114,1960
69, 75115,18722
70, 75116,6514
71, 75117,1518
72, 75119,9164
73, 75124,1614
74, 75125,2091
75, 75126,13398
76, 75127,584
77, 75132,504
78, 75134,7145
79, 75135,2373
80, 75137,6776
81, 75140,2337
82, 75141,1176
83, 75142,5781
84, 75143,5466
85, 75144,1259
86, 75146,6783
87, 75147,2510
88, 75148,2249
89, 75149,17603
90, 75150,21248
91, 75152,1562
92, 75153,124
93, 75154,12580
94, 75155,825
95, 75156,6546
96, 75157,89
97, 75158,1373
98, 75159,5286
99, 75160,8328
100, 75161,2153
101, 75163,1237
102, 75164,263
103, 75165,15240
104, 75166,1318
105, 75167,3523
106, 75169,5096
107, 75172,1205
108, 75173,1456
109, 75180,6202
110, 75181,8084
111, 75182,1834
112, 75189,8731
113, 75201,9532
114, 75202,1344
115, 75203,6551
116, 75204,17390
117, 75205,9238
118, 75206,20324
119, 75207,1494
120, 75208,10380
