,Year,Zipcode,Median_Income
1514,2019,78701,122182
1515,2019,78702,65689
1516,2019,78703,108548
1517,2019,78704,75233
1518,2019,78705,20326
1522,2019,78721,46591
1523,2019,78722,72428
1524,2019,78723,59197
1525,2019,78724,50625
1528,2019,78727,80758
1532,2019,78731,94851
1534,2019,78733,184500
1536,2019,78735,98906
1537,2019,78736,103287
1539,2019,78738,129907
1540,2019,78739,162274
1541,2019,78741,45835
1543,2019,78744,52345
1544,2019,78745,64626
1545,2019,78746,151801
1546,2019,78747,82811
1547,2019,78748,76909
1549,2019,78750,102130
1550,2019,78751,64340
1554,2019,78756,82535
1555,2019,78757,76716
1557,2019,78759,85555
