,RegionName,Metro,CountyName,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023
22434,78745,"Austin-Round Rock-Georgetown, TX",Travis County,357543.2075,360628.3601,363966.1082,367374.363,369381.6791,370594.3277,372041.9756,375723.5227,381721.1448,388515.0532,395965.4529,403532.4887,412006.3575,420837.0471,430044.927,440146.9298,451547.0445,462145.4947,469235.6383,471568.643,470889.0848,470512.0089,472131.9573,476354.3251,484709.0662,496139.3046,510313.3751,523486.5344,534746.6863,541766.2429,543477.88,540485.2988,534799.5492,528954.4244,523198.7934,516895.9938,511636.4785,507439.3667,504893.9389,502640.3656,500762.0028,499667.8964,498683.0705
22452,78753,"Austin-Round Rock-Georgetown, TX",Travis County,290963.3599,293584.8849,296067.8981,298328.6814,299914.7942,301288.4585,303341.8636,306785.0312,311733.2036,317313.8167,323634.6273,329977.9072,336848.3994,343520.3433,350363.9517,357655.645,366243.3942,375335.5067,382114.587,385141.4802,384491.2627,383069.0304,383312.4113,385896.0746,391778.3287,399388.5185,408553.2536,417068.0645,424521.6873,429242.4913,430211.9861,427917.5529,424110.1783,420663.76,416607.1722,411233.9166,406082.6548,401827.3891,399327.2463,397000.5749,395707.9074,395566.693,395685.54
22487,78758,"Austin-Round Rock-Georgetown, TX",Travis County,359437.6879,363167.5628,366666.0604,369479.3488,370941.8825,371786.93,373624.8419,377801.0379,384233.1592,390943.1786,398050.1838,404877.7378,412263.0492,419413.1871,426545.9411,434167.8164,443042.3615,452312.2464,458992.5665,461491.3965,459966.4237,457697.3925,456806.1173,458654.1068,464711.8994,473429.0936,483630.9203,491979.8105,498772.3297,502643.0316,503056.9809,499895.4354,494876.1174,489895.3381,484904.2174,478704.3061,473076.1821,467697.0788,464513.6355,462087.1442,461003.6498,460372.0603,459720.1712
22492,78704,"Austin-Round Rock-Georgetown, TX",Travis County,673452.7247,680943.5803,690235.1999,698705.5853,703632.695,704345.9012,704695.4843,709811.1759,721630.5955,736001.8499,751465.1647,766838.9911,783289.2237,800686.4868,819182.7075,841395.0685,868067.4031,897296.1722,920557.3976,933525.6112,937682.2804,942534.7343,952220.1888,966576.9018,988541.6454,1017768.368,1061072.881,1106572.53,1146157.187,1169770.993,1178056.146,1173719.686,1158422.172,1141967.779,1129628.869,1119886.575,1111010.074,1100821.191,1092749.387,1083755.266,1075263.353,1065815.808,1055979.755
22495,78748,"Austin-Round Rock-Georgetown, TX",Travis County,348529.28,351529.914,354428.6886,356815.0004,358482.7181,359953.2183,362239.4872,365985.5657,371380.4347,377761.5447,384946.1085,392235.0629,399919.5872,407867.9672,416013.4182,424991.3906,434980.7349,444995.794,452000.8377,454684.712,454143.1225,453084.2728,453674.7698,456671.7936,462763.9452,470664.2381,480276.9851,489844.6201,498468.4823,503727.5008,504079.3845,500772.9528,495634.7478,490829.8283,485646.0133,479508.2028,473348.943,468799.7544,466383.2819,465277.3711,464917.7473,465455.0115,465987.6339
22505,78744,"Austin-Round Rock-Georgetown, TX",Travis County,254409.9017,256931.477,258926.3493,260693.616,262280.971,263734.4517,265588.3357,268168.0491,272175.8901,277199.4403,283350.3046,289896.12,297073.9232,304878.5979,313666.9711,323787.6763,335335.935,347452.5685,356966.7905,362681.8118,364973.4636,366539.3612,368897.872,372973.3476,379804.224,388349.1493,398127.906,407526.6404,416184.9093,422103.4509,423933.4768,421727.1975,416915.3045,411621.5897,405874.8177,399140.8738,392487.3587,386639.8343,382285.4742,378603.1236,376311.3867,375420.1039,375013.2593
22527,78741,"Austin-Round Rock-Georgetown, TX",Travis County,330995.6649,334907.953,338338.8578,341173.3689,342862.0858,343805.7282,345109.4967,347817.8211,352904.791,358883.9472,365730.9797,372799.5637,380532.8196,388947.807,398431.8125,410747.3879,425240.3237,439809.8829,450019.4533,454430.684,454685.2438,454659.1306,456756.6879,461029.2541,468059.2177,477564.6823,489999.8579,503120.1754,514908.2557,521938.6333,522854.5037,518008.3137,510363.4692,502993.4913,496283.4709,488486.9081,480766.6093,474375.9713,470700.131,468140.6863,465889.7575,464627.9789,463454.2286
22528,78759,"Austin-Round Rock-Georgetown, TX",Travis County,585928.2779,590534.123,595591.9342,600173.2748,601901.6025,601442.8389,601152.7888,604643.9006,612057.1758,621299.6192,631923.4083,643029.341,655338.1694,667917.0871,680683.4302,694645.0056,710611.1756,726129.4794,735254.2258,736075.8095,731148.4018,727259.3529,728010.328,734315.1076,747579.0418,765091.5742,786971.0211,806974.4745,822336.1239,829155.7847,827485.1732,820895.6455,812392.3462,805220.7939,799068.4919,791966.9593,785516.6197,778326.5911,772960.8367,768613.4686,765224.1061,762206.0247,757623.3531
22647,78723,"Austin-Round Rock-Georgetown, TX",Travis County,410244.4158,414647.5395,419937.7884,424984.1381,427914.2851,429278.8911,430822.683,434972.2903,442100.8034,450903.5851,460291.3687,469253.7573,477976.1202,487224.5045,497075.7252,508403.8575,521114.3174,534610.0711,543998.7178,547384.768,545344.338,544101.3017,545368.1123,549680.122,559202.5327,572679.942,590644.3346,607464.0016,621406.1712,628316.3822,627207.2045,620016.9886,610098.5685,601155.6167,592838.3277,583900.2187,575572.3986,567811.9498,561816.4342,556672.3473,553393.6711,552127.9764,550639.5028
22658,78717,"Austin-Round Rock-Georgetown, TX",Williamson County,443418.7685,447326.3061,451510.8524,455670.0812,459332.9476,462195.0758,465164.4535,469345.4765,475409.9972,482633.4862,491123.9671,500031.3519,509949.6908,520143.8933,531720.3599,545146.1316,561407.589,577643.2185,589421.8487,594628.6405,594624.9353,594446.9036,596693.8613,603006.9791,613635.5675,626940.379,641975.9368,656149.3383,667061.7736,672292.2416,670563.8315,664651.9598,657013.6289,650984.3144,645859.5617,640380.0682,636781.9239,634330.3409,634485.3927,633724.9131,633845.5631,634224.3587,634475.997
